,mean_weight,std_weight,folds_in_top50,abs_mean
KRTAP12-3,0.004034803714340673,0.0014909831920805043,0,0.004034803714340673
TMEM88B,-0.004027361867773671,0.0026054826767528856,1,0.004027361867773671
GRIA2,-0.004023445375986244,0.000749349184929588,1,0.004023445375986244
C22orf23,-0.0039957945769134575,0.0011091538232313198,0,0.0039957945769134575
MARCHF3,-0.00399062823617968,0.0010376995340410815,0,0.00399062823617968
TESC,-0.003989220884238901,0.0009376901621795773,0,0.003989220884238901
LPAR3,-0.003985345277059301,0.002023377981938975,1,0.003985345277059301
TRIM64C,-0.003972824783427035,0.0007869057886294241,0,0.003972824783427035
PRAMEF27,-0.003971765471878883,0.0009062958059910659,0,0.003971765471878883
ANGPT2,0.003970455418466372,0.0008015344893681599,0,0.003970455418466372
IL11,0.0039616987175267685,0.000929478029276602,0,0.0039616987175267685
BEGAIN,-0.0039536253942700425,0.0016901449744278374,0,0.0039536253942700425
NLRP10,0.0039437310698010545,0.0035225233887767726,1,0.0039437310698010545
DLEC1,-0.003941590982668312,0.000744162001131449,0,0.003941590982668312
SSUH2,-0.003937877031527019,0.0008672952277212634,0,0.003937877031527019
DENND2C,-0.003926048611612743,0.0006463897287183111,0,0.003926048611612743
VAT1L,0.003925604793258269,0.0015585629103979004,0,0.003925604793258269
LIMCH1,-0.003924857965236358,0.001061015323982173,0,0.003924857965236358
PIFO,-0.003923823295987587,0.0006439904824458985,0,0.003923823295987587
APOD,0.003922126977429772,0.0009733326398293782,0,0.003922126977429772
MBOAT7,0.003921153920328899,0.000962040621764091,0,0.003921153920328899
MYL3,-0.003919249020130524,0.0008406878124921954,0,0.003919249020130524
FRMPD2,-0.003915971928529486,0.0006136693428931361,0,0.003915971928529486
FGF22,-0.003914312681891647,0.0011270316423045018,0,0.003914312681891647
ACAN,0.003909972336611626,0.0011421078744493403,0,0.003909972336611626
WDR45,0.003907122266140134,0.0007010483517666513,0,0.003907122266140134
GJA10,0.00390695945485013,0.001917468818145429,0,0.00390695945485013
PDCL2,-0.0039053701315929007,0.0006621038456609908,0,0.0039053701315929007
AQP9,0.003902924290472603,0.0007468223870553393,0,0.003902924290472603
TMEM54,0.0039011784522881773,0.0012766780390298178,0,0.0039011784522881773
OR4K5,-0.0038995611559593914,0.001011725654572745,0,0.0038995611559593914
AMPH,0.0038959707014796586,0.001580422440464892,1,0.0038959707014796586
ANKRD18A,-0.0038953578249355815,0.0008934155935706732,0,0.0038953578249355815
MRGPRD,0.0038950729829215595,0.001334605243350512,0,0.0038950729829215595
OTOA,-0.0038936965525404863,0.0007704089796363621,0,0.0038936965525404863
RAMAC,-0.0038910799658142675,0.0006182553751056647,0,0.0038910799658142675
SCGB3A1,-0.003889651227258508,0.000943147978963638,0,0.003889651227258508
PDZD9,-0.0038858705274831687,0.0013000917921366297,0,0.0038858705274831687
