permutation,auroc
1,0.5418793833199321
2,0.5041403388278388
3,0.47834997319753414
4,0.5469190844724381
5,0.5397741333869382
6,0.43343677409988385
7,0.5294710421692128
8,0.5292546401768963
9,0.4907365652640042
10,0.4982104328598231
11,0.4574367629321897
12,0.4725591608594657
13,0.4534457920128652
14,0.5381205329223622
15,0.4532091764942375
16,0.5575660289913339
17,0.4671577101760028
18,0.5218835991244528
19,0.4834436980702225
20,0.566524222728491
21,0.4750272770928259
22,0.4705021553649602
23,0.4955054498347181
24,0.5255397067363531
25,0.4552625804073974
26,0.5891844512195122
27,0.4310161764048959
28,0.5016131454927186
29,0.4637305961315107
30,0.4764122386759581
31,0.5610047853569193
32,0.49228549651567943
33,0.5302841898954703
34,0.4786135586974002
35,0.526036864558206
36,0.5310752814258912
37,0.4885498470025909
38,0.45908603591530417
39,0.4958135106763156
40,0.5159869170463682
41,0.49185263669257573
42,0.5002020235861698
43,0.5660098108192619
44,0.4596923579469311
45,0.46042347896006436
46,0.4888517935316716
47,0.48610797485035295
48,0.5036534552845529
49,0.525374759894577
50,0.5535993757259001
51,0.4705206937371571
52,0.44497456557669973
53,0.5485185774591261
54,0.53680941771643
55,0.49239457696774763
56,0.4511248101492004
57,0.4886884660055391
58,0.46549704614491205
59,0.497864010989011
60,0.4845917091039042
61,0.4928499955329223
62,0.524529421290092
63,0.4451953788081838
64,0.47227712074510847
65,0.5111973164031091
66,0.49781088068435625
67,0.4811246147145538
68,0.5639890724113285
69,0.5285221511212365
70,0.45640609644420616
71,0.45210739971410696
72,0.5016176404895917
73,0.4607731953006343
74,0.4967333378004109
75,0.5424655476637184
76,0.47236283279728397
77,0.5628417035200572
78,0.496080223130528
79,0.4398677745019208
80,0.4306823461091754
81,0.4883113050567319
82,0.47777134704726176
83,0.48205993701420535
84,0.48442226726525506
85,0.48708101603680864
86,0.5376990641472349
87,0.4529308217189315
88,0.43363044983471805
89,0.5103544626105603
90,0.5713874184758331
91,0.5066587096846243
92,0.4877095617796837
93,0.5304734543911374
94,0.5527252244706513
95,0.5335799997766462
96,0.5212883610292146
97,0.5181639194139194
98,0.4500777550701331
99,0.4795461449119986
100,0.5182806218172071
